titulo;num_episodio;nom_diretor;nom_produtor;data_lancamento;qtd_personagens;qtd_planetas;qtd_naves;qtd_veiculos;qtd_especies;med_periodo_rotacao_planetas;min_populacao_planetas;med_populacao_planetas;max_populacao_planetas
A New Hope;4;George Lucas;Gary Kurtz, Rick McCallum;1977-05-25;18;3;8;4;5;23.666666666666668;1000.0;666733666.6666666;2000000000.0
The Empire Strikes Back;5;Irvin Kershner;Gary Kurtz, Rick McCallum;1980-05-17;16;4;9;6;5;21.0;6000000.0;2003000000.0;4000000000.0
Return of the Jedi;6;Richard Marquand;Howard G. Kazanjian, George Lucas, Rick McCallum;1983-05-25;20;5;12;8;9;22.8;200000.0;251132550000.0;1000000000000.0
The Phantom Menace;1;George Lucas;Rick McCallum;1999-05-19;34;3;5;7;20;24.333333333333332;200000.0;334833400000.0;1000000000000.0
Attack of the Clones;2;George Lucas;Rick McCallum;2002-05-16;40;5;9;11;14;26.0;200000.0;221100040000.0;1000000000000.0
Revenge of the Sith;3;George Lucas;Rick McCallum;2005-05-19;34;13;12;13;20;25.384615384615383;20000.0;84006560000.0;1000000000000.0
